name,tax_id,irs_name,street_address,city,state,zip,affiliation,website,advertises_apr,facebook,twitter,youtube,instagram,tiktok,donor_website,other_names
"SISTERS FOR LIFE, INC.",33-1061393,Sisters For Life Education Fund Inc,1143 South 6th St,Louisville,KY,40203,,http://sisforlife.org/ No,,https://www.facebook.com/sisforlifeorg/,,,,,,
DOOR OF HOPE,61-1313094,Door of Hope Pregnancy Care Center,1805 South Main St,Madisonville,KY,42431,Heartbeat International,http://www.doorofhope.com/ No,,https://www.facebook.com/doorofhopecarecenter,,,,,,
HEART & SOUL LIFE CENTER,45-2623179,Heart and Soul Life Center,769 Muddy Gap Rd,Manchester,KY,40962,Heartbeat International,https://heartandsoullifecenter.com/ No,,https://www.facebook.com/Heart-and-Soul-Life-Center-14476401891308h7tt/ps://www.instagram.com/heartandsoulpregnancy/,,,,,,
HOPE CENTER,61-1298152,Hope For Life Pregnancy Care Center Inc,1216 Paris Rd,Mayfield,KY,42066,Heartbeat International,http://www.hopemayfield.com/ No,,https://www.facebook.com/hopecentermayfield/https://www.youtube.comht/tupsse:/r//whowpwe.cinesnttaegrrmaamy.fcieolmd/_hopecenter/,,,,,,
HELP PREGNANCY CARE CENTER OF MONTICELLO,26-3299513,H E L P Pregancy Care Center Inc,200 North Main St,Monticello,KY,42633,"Care Net, Heartbeat International",http://www.helppregnancycenter.com/ Yes,,,,,,,,
HOPE PREGNANCY CARE CENTER,61-1324323,Hope Pregnancy Care Center,167 East Main St,Morehead,KY,40351,Heartbeat International,http://www.moreheadpregnancy.com/ Yes,,https://www.facebook.com/profile.php?id=100064658024007&ref=pagesh_tytposu:_//mwwanwa.ignestagram.com/hopepcc,,,,,,
OLIVE BRANCH PREGNANCY CENTER,41-2607727,Olive Branch Pregnancy Center Inc,103 Ashley Plaza,Morgantown,KY,42261,,,,https://www.facebook.com/people/Olive-Branch-Pregnancy-Center/61583607809037/,,,,,,
NEW BEGINNINGS PREGNANCY & RESOURCE CENTER - MT STERLING,61-1180957,Women For Life Of Winchester Inc,"506 North Maysville St, Suite 2",Mt Sterling,KY,40353,Care Net,http://newbeginningsofwinchester.org/ No,,https://www.facebook.com/New-Beginnings-of-Winchester-185402554827969/,,,,,,
CROSSROADS LIFE CENTER- MUNFORDVILLE,20-1082722,Crossroads Pregnancy Center Inc,1226 Main St,Munfordville,KY,42765,"Care Net, Heartbeat International",https://crossroadsky.org/ No,,,,,,,,
LIFE HOUSE CARE CENTER,61-1225208,Life House Crisis Pregnancy Center,602 Poplar St,Murray,KY,42071,Care Net,http://www.lhouse.org/ No,,https://www.facebook.com/lhousecarecenter/,,https://www.instagram.com/lifehousemurray/,,,,
BIRTHRIGHT OF OWENSBORO,61-1038458,Birthright Center of Owensboro,1724 Triplett St,Owensboro,KY,42301,Birthright International,http://birthright.org/owensboro No,,https://www.facebook.com/birthrightofowensoro/,,,,,,
CARE NET OF OWENSBORO,20-0736119,Pregnancy Center Of Owensboro,425 East 18th St,Owensboro,KY,42303,Heartbeat International,https://careneto.org/ No,,https://www.facebook.com/Care,Netowensboro/,,,,,
HOPE UNLIMITED FAMILY CARE CENTER - PADUCAH,61-1180457,Hope Unlimited Family Care Center,1101 Jefferson St,Paducah,KY,42001,"Care Net, Heartbeat International, NIFLA",http://www.hopeunlimitedfcc.org/ No,,https://www.facebook.com/hhtotppse:u//ntwlimittieter.dcfocmc//@hhotptpes_:e//mwwpoww.yeorustube.comht/tupsse:/r//wHwopwe.iUnsntlaimgirtaemdF.caommil/yh/ofepaetuunrelidmitedcenter/,,,,,,
APPALACHIAN PREGNANCY CARE CENTER,20-8757537,Appalachian Pregnancy Care Centers,118 Loraine St,Pikeville,KY,41501,Care Net,http://www.appalachianpregnancycare.com/ No,,,,,,,,
AFFIRM WOMEN'S HEALTH- RICHMOND,61-1259237,Madison County Pregnancy Help Center,227 West Irvine St,Richmond,KY,40475,Heartbeat International,https://affirmwomen.org/ No,,,,,,,,
WOMEN'S CARE CENTER,35-1609945,Womens Care Center Inc,1505 Lexington Rd,Richmond,KY,40475,,https://www.womenscarecenter.org/richmond-kentucky No,,,,,,,https://supportwomenscarecenter.org/,
"ALC A LOVING CHOICE PREGNANCY RESOURCE CENTER, INC.",20-1410531,Loving Choice Pregnancy Resource Center,711 Henry Clay St,Shelbyville,KY,40065,"Care Net, Heartbeat International",https://alckentucky.com/ No,,,,https://www.instagram.com/alckentucky/,,,,
"ALC A LOVING CHOICE PREGNANCY RESOURCE CENTER, INC.",20-1410531,Loving Choice Pregnancy Resource Center,368 North Buckman St,Shepherdsville,KY,40165,"Care Net, Heartbeat International",https://alckentucky.com/ No,,,,https://www.instagram.com/alckentucky/,,,,
FIRST CHOICE CLINIC OF SOMERSET,61-1105713,Aim For Life Inc,111 South Church St,Somerset,KY,42501,Heartbeat International,https://www.fccofsomerset.org/ Yes,,https://www.facebook.com/AIM-Pregnancy-Support-Center-138647190941/,,,,,,First Choice Clinic
HOUSE OF HOPE,61-1372838,House of Hope,226 West Main St,Springfield,KY,40069,Heartbeat International,https://houseofhopespringf.wixsite.com/houseofhopeky/conNtaoct,,https://www.facebook.com/HouseofHopeSpringfieldKY,,https://www.instagram.com/houseofhopeky/?igsh=MXQ4dzM0anpjdDExcQ%3D%3D&utm_source=qr&fbclid=IwAR0kNNBDO-5VL1bNHnvHhvEFKwSipJNGnvhOSzxb_Tq9uVLwgcalFAqZOgo_aem_ASMMRXIFpe5j1i8j6t2diqiD8WfNMBX4MFWNrepoJg6V8Ew1yCb6WxmmDquDoxg_1sDak3HysX-ZK1C0P82aju0T,,,,
HAVEN CARE CENTER - LINCOLN,61-1210413,Haven Care Center,105 Lancaste St,Stanford,KY,40484,"Care Net, Heartbeat International",http://havencarecenter.org/ Yes,,,,,,,,
CARE NET PREGNANCY SERVICES OF NORTHERN KENTUCKY - WILLIAMSTOWN,61-1351706,Care Net Pregnancy Services of Northern KY,"103 Barnes Rd, Suite E",Williamstown,KY,41097,Care Net,https://pregnantoptionsnky.com/ Yes,,https://www.facebook.com/friendsofCare,Netnky,https://www.instagram.com/friendsofCare,,,Netnky,
NEW BEGINNINGS PREGNANCY & RESOURCE CENTER - WINCHESTER,61-1180957,Women For Life Of Winchester Inc,139 Jefferson St,Winchester,KY,40391,Care Net,http://newbeginningsofwinchester.org/ No,,https://www.facebook.com/New-Beginnings-of-Winchester-185402554827969/,,,,,,
LILY OF THE VALLEY MINISTRIES,72-1395745,Lily of the Valley Ministries,PO Box 13601,Alexandria,LA,71302,,http://www.lilyofthevalleyministries.com/ No,,,,,,,,
CENLA PREGNANCY CENTER- ALEXANDRIA,82-1338688,Cenla Pregnancy Center,1254 MacArthur Dr,Alexandria,LA,71303,Heartbeat International,https://cenlapc.com/ Yes,,https://www.facebook.com/cenlapc/,https://www.youtube.comht/t@psc:e//nwlwapwr.eingsntaangcraycme.nctoemrs/cenlapregnancy/,,,,,Avoyelles Pregnancy Center
WOMEN'S LIFE MINISTRIES,74-3232424,Womens Life Ministries,109 East Mulberry St,Amite City,LA,70422,Heartbeat International,https://womenslifeministries.com/ No,,https://www.facebook.com/womenslifeministries/,,,,,,
WOMAN'S NEW LIFE CLINIC - BATON ROUGE,72-1475326,Woman's New Life Clinic,761 Colonial Dr,Baton Rouge,LA,70806,Heartbeat International,https://womansnewlife.com/ Yes,,https://www.facebook.com/hwttopms:a//ntwsnitetewr.licfeocme/nwtoemr/ansnewlife,,,,,,
THE WOMEN'S HELP CENTER,82-4353708,Womens Help Center,7515 Scenic Hwy,Baton Rouge,LA,70807,Heartbeat International,http://thewomenshelpcenter.org/ No,,,,,,,,
PREGNANCY PROBLEM CENTER,,,3005 Florida St,Baton Rouge,LA,70808,Heartbeat International,http://www.pregnancyproblemcenterbr.com/ Yes,,,,,,,,
CATHOLIC CHARITIES DIOCESE OF BATON ROUGE,,,1900 South Acadian Thruway,Baton Rouge,LA,70808,Diocese of Baton Rouge,https://www.adoptccdiobr.org/im-pregnant/,,,,,,,,
CARE PREGNANCY CLINIC,72-0977636,Care Pregnancy Clinic,3813 North Flannery Road,Baton Rouge,LA,70814,Heartbeat International,http://achoice.org/ Yes,,,,,,,,
NORTHLAKE CRISIS PREGNANCY CENTER,72-1024823,Northlake Crisis Pregnancy Center,19348 North 4th St,Covington,LA,70433,Heartbeat International,https://www.northlakecpc.com/ No,,,,,,,,
PREGNANCY CARE CENTER DERIDDER,72-1238811,BeauregaRoad Vernon Crisis Pregnancy Center,422 McMahon St,Deridder,LA,70634,Care Net,https://www.pregnancycarederidder.org/ No,,https://www.facebook.com/PregnancyDeridder/,,https://www.instagram.com/PregnancyCareDeRidder,,,,
WESTBANK PREGNANCY & FAMILY CARE CENTER,72-1483245,Community Center for Life,539 Lafayette St,Gretna,LA,70053,Heartbeat International,https://westbankpregnancy.org/ No,,https://www.facebook.com/wbpregnancy,,https://www.instagram.com/wbpregnancy/,,,,Westbank Pregnancy and Family Care Center
RESTORATION HOUSE PREGNANCY RESOURCE CENTER,58-1753800,Restoration Pregnancy Resource,101 South Spruce St,Hammond,LA,70403,Care Net,http://www.resthse.org/ No,,https://www.facebook.com/therestorationhouse,,,,,,
HOPE RESTORED PREGNANCY RESOURCE CENTER,04-3818262,Hope Restored Pregnancy Resource Center LLC,"1181 West Tunnel Blvd, Suite E",Houma,LA,70360,Heartbeat International,https://hoperestoredprc.org/ Yes,,https://www.facebook.com/hoperestoredprc/,,,,,,
WOMEN'S CENTER OF LAFAYETTE,72-1484266,Desormeaux Foundation,1331 Jefferson St,Lafayette,LA,70501,,http://womenscenteroflafayette.com/ No,,,,,,,,
ACADIANA PREGNANCY CENTER & CLINIC,58-1671248,A Pregnancy Center and Clinic,"913 South College Rd, Suite 206",Lafayette,LA,70503,Heartbeat International,https://apcclafayette.org/ No,,https://www.facebook.com/hatptpcsc:l/a/tfwayitetettre.com/apccpregnancy,,,,,,
ABC PREGNANCY RESOURCE CENTER,75-3052465,Abc Pregnancy Resource Center,600 Belden St,Lake Charles,LA,70601,"Care Net, Heartbeat International",http://abcprc.com/ Yes,,https://www.facebook.com/hAtBtpCs:P//rxe.gconman/RcyeRseosuorcuercAebCcenter,,https://www.instaghrtatpms.:c//owmw/wab.tcik_tporke.cgonman/@cya/bc_pregnancyresources,,,,
"NEW LIFE COUNSELING, INC",72-1005509,New Life Counseling,631 East School St,Lake Charles,LA,70607,Heartbeat International,https://www.newlifemedicallc.org/ Yes,,https://www.facebook.com/newlifecounselinglc,,https://www.instagram.com/newlifemedicallc/,,,,
NEW LIFE CRISIS PREGNANCY CENTER,45-4615208,New Life Crisis Pregnancy Center,302 West Courthouse St,Leesville,LA,71446,Heartbeat International,http://www.newlifecpc.com Yes,,https://www.facebook.com/newlifecpc,,,,,,
CENLA PREGNANCY CENTER- MARKSVILLE,82-1338688,Cenla Pregnancy Center,"221 North Monroe St, Suite 2",Marksville,LA,71351,Heartbeat International,https://cenlapc.com/ Yes,,https://www.facebook.com/cenlapc/,https://www.youtube.comht/t@psc:e//nwlwapwr.eingsntaangcraycme.nctoemrs/cenlapregnancy/,,,,,Avoyelles Pregnancy Center
PREGNANCY CARE CENTER,,,3108 20th St,Metairie,LA,70002,,http://pregnancycarecenternola.org/,,,,,,,,
ACCESS PREGNANCY & REFERRAL CENTERS,72-0408911,Catholic Charities Archdiocese Of New Orleans,"921 Aris Ave, Suite B",Metairie,LA,70005,Heartbeat International,https://www.ccano.org/access-pregnancy-services/,,,,,,,,
SEEDS WOMEN'S CENTER,26-3865866,Northwest Louisiana Pregnancy Care Center,308 Pine St,Minden,LA,71055,Heartbeat International,https://seedswomenscenter.com/ No,,https://www.facebook.com/nwlpcc.org/,,,,,,
LC CENTER,72-1113262,Life Choices Pregnancy Resource Center,2007 Roselawn Ave,Monroe,LA,71201,"Care Net, Heartbeat International",http://lifechoicesofmonroe.com/ Yes,,,,,,,https://www.lifechoicesofmonroe.com/supporters,
WOMEN'S RESOURCE CENTER OF NATCHITOCHES,58-1882982,Womens Resource Center of Natchitoches,107 North St,Natchitoches,LA,71457,"Care Net, Heartbeat International",http://www.wrcnatchitoches.org/ No,,,,,,,,
CELEBRATE LIFE MINISTRIES,72-1151999,Gideon Christian Fellowship,2225 Pleasure St,New Orleans,LA,70122,,http://gideonchristianfellowship.org/new/celebrate-life-ministries/,,,,,,,,
WOMAN'S NEW LIFE CENTER - NEW ORLEANS,72-1475326,Woman's New Life Clinic,4612 South Claiborne Ave,New Orleans,LA,70125,Heartbeat International,https://womansnewlife.com/ Yes,,https://www.facebook.com/hwttopms:a//ntwsnitetewr.licfeocme/nwtoemr/ansnewlife,,,,,,
LIFE CHOICES OF NORTH CENTRAL LOUISIANA,72-1314465,Life Choices of North Central Louisiana,606 Belue Lane,Ruston,LA,71270,Care Net,http://lifechoicesncla.org/ Yes,,https://www.facebook.com/lifechoicesncla/,https://www.youtube.comht/tcphsa:/n/wnewl/wU.CinIs8tAagVrJaDma.McoJmpW/lif3eBchEoZicvePs-Dnc7l8aw/,,,,,
MARY'S HOUSE PREGNANCY CARE CENTER,47-2593937,Marys House Of Louisiana,906 Margaret Place,Shreveport,LA,71101,Heartbeat International,https://maryshouseofla.org/ Yes,,https://www.facebook.com/maryshousenwla/?ref=embed_page,,,,,,
CARE PREGNANCY CENTER,58-2010775,Care Pregnancy Center,921 Shreveport-Barksdale Hwy,Shreveport,LA,71105,Care Net,https://www.carepregnancyhelp.com/ No,,https://www.facebook.com/CAREpregnancyhelp/?ref=aymt_homepage_hptatpnse:l/&/wewidw=A.inRsotaagdrWamy-.xc9ofmoB/cIaGrteMp7rebgwn2a8nwczy2ce-3nWteKr/l5G56L1USvPj67g3KGPvZFKNNo1AD0nEX-xFJa21yrBcbWDtVhtpg,,,,,,
SHREVEPORT PREGNANY CENTER,87-1787995,Shreveport Pregnancy Center,2810 Summer Grove Dr,Shreveport,LA,71118,Heartbeat International,http://shreveportpregnancycenter.com/ Yes,,https://www.facebook.com/spchelpme,,,,,,
PREGNANCY HELP SLIDELL - SPEAKHOPE,72-1186249,Crisis Pregnancy Help Center Of Slidell,550 Gause Blvd,Slidell,LA,70458,Heartbeat International,http://crisispregnancyhelp.org/ No,,,,,,,,
CROSSROADS PREGNANCY RESOURCE CENTER,01-0722568,Crossroads Pregnancy Resource Center,105 St. Louis St,Thibodaux,LA,70301,Heartbeat International,https://www.crossroadsprc.org/ Yes,,https://www.facebook.com/CrossRoadsPRC.org/?eid=ARB-6sDOs_cWMhvttXpsb:7//7wkwrWww.in_slit3algMraSmTG.cNom7D/cEro0sUsxRTol4aMdsZpYrcH/D?h8lq=Qen8CD9O1Zf03OlQgu3OwWMj50o1xIjF4z,,,,,,
CENLA PREGNANCY CENTER- VIDALIA,82-1338688,Cenla Pregnancy Center,4951 Hwy 84 West,Vidalia,LA,71373,Heartbeat International,https://cenlapc.com/ Yes,,https://www.facebook.com/cenlapc/,https://www.youtube.comht/t@psc:e//nwlwapwr.eingsntaangcraycme.nctoemrs/cenlapregnancy/,,,,,Avoyelles Pregnancy Center
OPEN ARMS PREGNANCY CENTER,27-2523678,Open Arms Pregnancy Center,99 Bangor St,Augusta,ME,04330,,http://www.openarmspc.org/ No,,https://www.facebook.com/openarms.pregnancycenter,,,,,,
FIRST STEP PREGNANCY RESOURCE CENTER,01-0428432,First Step Pregnancy Resource Center,"336 Mt. Hope Ave, Suite 11",Bangor,ME,04401,"Care Net, Heartbeat International",http://www.firststepbangor.com/ Yes,,https://www.facebook.com/profile.php?id=100064445634001&fref=ts,,,,,,
CARE NET OF MID-COAST MAINE,01-0533044,Door to Life,7 Cumberland St,Brunswick,ME,04011,"Care Net, Heartbeat International",https://www.carenetme.org/ Yes,,,,,,,,
PREGNANCY CARE CENTER OF AROOSTOOK - FT. KENT,22-2686628,Pregnancy Care Center of Aroostook County,272 West Main St,Fort Kent,ME,04743,Care Net,http://pcc-hope.org/ No,,,,,,,,
PREGNANCY CARE CENTER OF AROOSTOOK - HOULTON,22-2686628,Pregnancy Care Center of Aroostook County,37 North St,Houlton,ME,04730,Care Net,http://pcc-hope.org/ No,,,,,,,,
FREE WOMEN'S HEALTH CLINIC,01-0426091,Hope House Network,91 College St,Lewiston,ME,04240,,http://www.hopehousemaine.com/index.html No,,,,,,,,
ABBA WOMEN'S CHOICE,01-0499592,Abba A Womens Resource Center,"1250 Forest Ave, 2nd Floor",Portland,ME,04103,"Care Net, Heartbeat International",http://abbapregnancychoice.org/ Yes,,https://www.facebook.com/hatbtpbsa:w//xo.mcoemns/acbhboaicweomenchoice,,https://www.instagram.com/abbawomenschoice/,,,,
PREGNANCY CARE CENTER OF AROOSTOOK - PRESQUE ISLE,22-2686628,Pregnancy Care Center of Aroostook County,"830 Main St, A-2",Presque Isle,ME,04769,Care Net,http://pcc-hope.org/ No,,,,,,,,
ALPHA PREGNANCY CENTER,01-0475640,Alpha Pregnancy Resource Center,"6B Washington St, Suite 100",Sanford,ME,04073,Care Net,https://alpha-prc.com/ No,,https://www.facebook.com/hatltpphsa:/p/xrc.c/om/Alpha_Pregnancy,,https://www.instagram.com/alphaprc/,,,,
RESOLVE LIFE CENTER,04-3335128,First Choice Pregnancy Resource Center,257 Main St,Waterville,ME,04901,Care Net,https://www.resolvelife.org/ No,,https://www.facebook.com/resolvelifecenter/,,https://www.instagram.com/resolvelifecenter/,,,,
TOWSON WOMEN'S CARE,52-1724629,Towson Women's Care,"7402 York Rd, Suite 100",Towson,MD,21204,Heartbeat International,https://towsonwomenscare.org/ Yes,,,,,,,,
ALPHA'S GLORY CRISIS PREGNANCY CENTER,52-1699931,Alphas Glory Crisis Pregnancy Center Incorporated,"219 West Bel Air Ave, Suite 2",Aberdeen,MD,21001,Heartbeat International,https://www.alphasglory.org/ Yes,,https://www.facebook.com/profile.php?id=100038066630823,,,,,,
WOMEN'S CLINICS ANNAPOLIS,52-1436787,Bowie Crofton Pregnancy Center,934 West St,Annapolis,MD,21401,"Care Net, Heartbeat International",https://womensclinics.org/ Yes,,https://www.facebook.com/PregnancyClinics,,https://www.instagram.com/helphopehealing/,,,,
CENTER FOR PREGNANCY CONCERNS,52-1192219,Greater Baltimore Center for Pregnancy Concerns,328 North Howard St,Baltimore,MD,21218,Heartbeat International,https://cpcforhelp.org/ Yes,,https://www.facebook.com/hCttepnst:e//rtFwoitrtPerre.cgonma/nccpycCfoornhceelprns/,,https://www.instagram.com/centerforpregnancyconcerns/,,,,
ROCK-A-MY-BABY PREGNANCY SUPPORT CENTER,52-1457200,Agape House,1501 North Dukeland St,Baltimore,MD,21223,,http://www.rockamybabypregnancysupportcenter.org/ No,,,,,,,,
BALTIMORE PREGNANCY CENTER,,,7311 Hartford Road,Baltimore,MD,21234,,,,,,,,,,
WOMEN'S CARE CENTER OF BALTIMORE,47-4122869,Women's Care Center of Maryland Incorporated,7619 Belair Rd,Baltimore,MD,21236,,https://www.womenscarecenter.org/baltimore-maryland No,,,,,,,,
GRACE CENTER FOR MATERNAL AND WOMEN'S HEALTH,27-2789189,Grace Center For Maternal And Womens Health Inc,"10226 Old Ocean City Blvd, Unit 2",Berlin,MD,21811,Heartbeat International,https://gracematernalhealth.org/ No,,https://www.facebook.com/shirleygracepc/,https://www.youtube.com/channel/UCiMBsq51hC2QUQvwzgD5fLQ,,,,,
WOMEN'S CLINICS BOWIE CROFTON,52-1436787,Bowie Crofton Pregnancy Center,4314 Northview Dr,Bowie,MD,20716,"Care Net, Heartbeat International",https://womensclinics.org/ Yes,,https://www.facebook.com/PregnancyClinics,,,,,,
CHRISTLE LIGHTHOUSE PREGNANCY CARE CENTER,52-1938260,Christle Lighthouse Pregnancy Care,"6507 Old Branch Ave, Suite 102A",Camp Springs,MD,20748,,https://www.christlelighthousepcc.org/ No,,https://www.facebook.com/Christle-Lighthouse-Pregnancy-Care-Center-1407882102793494/,,,,,,
PREGNANCY AID CENTER,23-7418649,Pregnancy Aid Centers,4700 Erie St,College Park,MD,20740,,https://pregnancyaidcenter.org/ No,,,,,,,,
COLUMBIA PREGNANCY CENTER,52-1731882,Columbia Pregnancy Center / Howard County Pregnancy Center,"8945 Guilford Rd, Suite 130",Columbia,MD,21046,Heartbeat International,http://www.columbia-pregnancy.org/ No,,https://www.facebook.com/people/Moms-of-CPC/100063480792927/,,https://www.instagram.com/cpcempowhettrpinsg:/w/wowmwe.nc/olumbia-babies.org/,,,,
BETHANY CHRISTIAN SERVICES - CROFTON,,,"2142 Priest Bridge Ct, Suite 1",Crofton,MD,21114,Heartbeat International,https://bethany.org/locations/us/maryland/crofton No,,,,,,,,
1ST WAY PREGNANCY SUPPORT CENTER,52-1338274,1st Way Pregnancy Support Center,310 Race St,Cumberland,MD,21501,"The National Life Center, Inc.",https://1stwaypregnancy.com/ No,,https://www.facebook.com/1stwaypregnancy/,,,,,,
BAYWATER WOMEN'S CLINIC,52-1722184,Choices for Life Pregnancy Center,"505 Dutchmans Lane, Suite B1",Easton,MD,21601,Heartbeat International,https://baywaterwomens.com/ Yes,,,,,,,,
CHOOSE HOPE WOMEN'S CENTER,52-1305958,Choose Hope Womens Center,1924 Pulaski Hwy,Edgewood,MD,21040,Birthright International,https://choosehopetoday.org/ Yes,,https://www.facebook.com/hptetposp:l/e/t/wCihttoeor.sceo-mH/ocphewh-oWttmposem:n//eswncwse-wnCt.eyeronutetur-boef-.Hcoamrhfto/tcpRhsoa:a/n/dwn-ewCl/woUu.CinnHstytFa/1_g0Br0ad0mB9.uc4lo35m338X/c61h9bo35o8fms8e1_h/GoOpeqwHoAmenscenter/?r=nametag,,,,,,
CECIL PREGNANCY AND FAMILY RESOURCE CENTER,52-1302944,Cecil County Pregnancy Center,126 East High St,Elkton,MD,21921,Heartbeat International,https://ccpregnancycenter.org/ Yes,,https://www.facebook.com/ccpregnancycenter,,https://www.instagram.com/ccpregnancycenters/?hl=en,,,,
CATOCIN PREGNANCY CENTER,52-1833597,Pregnancy Center Inc - Catoctin,"130 South Seton Ave, Suite 3",Emmitsburg,MD,21727,,http://www.catoctinpregcenter.org/ No,,,,,,,,
BIRTHRIGHT OF FREDERICK,52-1247451,Birthright of Frederick,250 West Patrick St,Frederick,MD,21701,Birthright International,https://birthright.org/frederick/ No,,,,,,,,
CARE NET PREGNANCY CENTER OF FREDERICK,52-1322581,Care Net Pregnancy Center of Frederick,707 North Market St,Frederick,MD,21701,Care Net,https://www.carenetfrederick.org No,,https://www.facebook.com/hCttaprse:,/N/twetiftrteedr.ecroicmk/Care,NetFredMD https://www.instagram.com/Care,,Netfrederickmd/?hl=en,,
SHADY GROVE PREGNANCY CENTER,52-1308640,Shady Grove Pregnancy Center,"16220 Frederick Rd, Suite 118",Gaithersburg,MD,20877,"Care Net, Heartbeat International",http://www.pregnancy-options.org/ Yes,,,,,,,,
WOMEN'S CARE MARY'S CENTER INC.,,,"898 Airport Park Rd, Suite 109",Glen Burnie,MD,21060,,https://womenscaremc.org/ Yes,,,,,,,,
THE JAMES ISAAC HOUSE - GRANTSVILLE,52-1612228,The James Isaac House Inc,3231 Chestnut Ridge Rd,Grantsville,MD,21536,,https://tjihouse.org/ No,,,,,,,,
HAGERSTOWN AREA PREGNANCY CLINIC,52-0887582,Hagerstown Bible Church,152 West Washington St.,Hagerstown,MD,21740,Heartbeat International,http://hapconline.com/ Yes,,https://www.facebook.com/hapcenter,,,,,,
LAUREL PREGNANCY CENTER,52-1608500,Laurel Pregnancy Center,415 Main St,Laurel,MD,20707,Care Net,https://lpcpartners.org/ No,,https://www.facebook.com/LaurelPregnancyCenter,,https://www.instagram.com/laurelpregnancycenter/,,,,
EL SHADDI CARE CENTER,52-2089345,El Shaddi Care Center,P.O. Box 3035,Laurel,MD,20709,,http://www.elshaddi.org/ No,,,,,,,,
CARE NET PREGNANCY CENTER OF SOUTHERN MARYLAND - LEXINGTON PARK,52-1689564,Care Net Pregnancy Center of Southern Maryland,21562 Thames Ave,Lexington Park,MD,20653,Care Net,https://carenetsomd.org/ Yes,,https://www.facebook.com/hCttaprse:,/N/twetisttoemr.cdo/m/Care,NetSOMD https://www.instagram.com/Care,,Netsomd/,,
THE JAMES ISAAC HOUSE - OAKLAND,52-1612228,The James Isaac House Inc,314 South 2nd St,Oakland,MD,21550,,https://tjihouse.org/ No,,,,,,,,
MARY'S CENTER,52-1710341,Mary's Center,8325 Ventnor Rd,Pasadena,MD,21122,Our Lady of the Chesapeake,https://olchesapeake.org/marys-center,,https://www.facebook.com/hotutprlsa:d//ytwofitttheerc.choemsa/OpeLaCkhee?shacp_eloackaetion=timeline,,,,,,
BIRTHRIGHT OF PRINCE FREDERICK,52-1931286,Birthright of Prince Frederick,"301 Steeple Chase Dr, Suite 405",Prince Frederick,MD,20678,Birthright International,https://birthright.org/princefrederick No,,,,,,,,
CARE NET PREGNANCY CENTER OF SOUTHERN MARYLAND - PRINCE FREDERICK,52-1689564,Care Net Pregnancy Center of Southern Maryland,"2196 Solomons Island Road, Suite 3",Prince Frederick,MD,20678,Care Net,https://carenetsomd.org/ Yes,,https://www.facebook.com/hCttaprse:,/N/twetisttoemr.cdo/m/Care,NetSOMD https://www.instagram.com/Care,,Netsomd/,,
ALPHA PREGNANCY CENTER,52-1402348,Alpha Pregnancy Center Inc,"301 Main St, Suite 1B",Reisterstown,MD,21136,Care Net,http://www.alpha-pregnancycenter.org/ No,,https://www.facebook.com/people/Alpha-Pregnancy-Center/100047725137093/,,,,,,
ROCKVILLE PREGNANCY CLINIC,52-1492325,Rockville Pregnancy Center,"12530 Parklawn Dr, Suite 170",Rockville,MD,20852,"Care Net, Heartbeat International",https://rockvilleclinic.org/ No,,https://www.facebook.com/hRttopcsk:v//itlwleiWtteorm.coemns/Croecnktveilrlewomens,,https://www.instagram.com/rockvillewomens/,,,,
EASTERN SHORE PREGNANCY CENTER,20-0507389,Pregnancy Care Clinic of the Eastern Shore,2604 Old Ocean City Rd,Salisbury,MD,21804,Heartbeat International,http://easternshorepregnancycenter.org/ Yes,,,,,,,https://supporter.easternshorepregnancycenter.org/,
WOMEN'S CLINICS SEVERNA PARK,52-1436787,Bowie Crofton Pregnancy Center,"650 Ritchie Hwy, Suite 307",Severna Park,MD,21146,"Care Net, Heartbeat International",https://womensclinics.org/ Yes,,https://www.facebook.com/PregnancyClinics,,,,,,
BIRTHRIGHT OF ANNAPOLIS,52-1176289,Birthright of Annapolis,770 Ritchie Hwy,Severna Park,MD,21146,Birthright International,https://birthright.org/annapolis/ No,,,,,,,,
CENTRO TEPEYAC WOMEN'S CENTER,52-1838338,Centro Tepeyac,12247 Georgia Ave,Silver Spring,MD,20902,Heartbeat International,https://centrotepeyac.org/ Yes,,https://www.facebook.com/centrotepeyac/,,https://www.instagram.com/centrotepeyac/,,,,
SHIFRA,27-0746302,In Shifras Arms Inc.,PO Box 7212,Silver Spring,MD,20910,Network of Jewish Human Service Agencies,https://jewishpregnancyhelp.org/ No,,https://www.facebook.com/JewishPregnancyHelp?mibextid=LQQJ4d,,https://www.instagram.com/call_shifra?igsh=MWtkbjZja2tkdHp4dQ==,,,,
THE CATHERINE FOUNDATION PREGNANCY RESOURCE CENTER,52-1366150,The Catherine Foundation,3065 Old Washington Rd,Waldorf,MD,20601,"Care Net, Heartbeat International, NIFLA",http://www.catherinefoundation.org/ Yes,,https://www.facebook.com/hctatpthse:/r/itnweitftoeurn.cdoamtio/tnhperccatherinefdn?lang=enhttps://www.instagram.com/catherinefoundationprc/,,,,,,
PREGNANCY SUPPORT CENTER OF CARROLL COUNTY,85-1625528,Pregnancy Support Center of Carroll County,"95 Carroll St, Suite 101",Westminster,MD,21157,Heartbeat International,https://www.carrollpregnancy.org/ Yes,,https://www.facebook.com/PregnancySupportCenterofCarrollCountyMD/https://www.instagram.com/pscofcc/,,,,,,
